key	category	weight	0	1	2	3	4	5	6	7	8	9	10	nota	idc
voting	gov		techno	repub	dir/rep	anar	auth/techno	plut	strato						
votingreform	gov		anar	plut	rep/repub	auth	techno	dir	strato						
concentration	gov		dir	techno	repub	plut	anar	strato	auth	rep					
traits	gov		rep	strato	repub	dir	auth	anar	techno	plut					
leaderselect	gov		anar/dir	auth	plut	techno	techno/strato	rep/repub							
policysetting	gov		anar/dir	auth	plut	techno	techno/strato	rep/repub							
peoplepolicy	gov		auth/rep/techno/strato	repub	anar/plut	dir/repub*	auth/rep/strato/techno								
representation	gov		auth/techno	repub	auth*	strato	rep	plut	anar/dir/techno						
equality	gov		repub	auth	rep	techno	dir	plut	strato	anar	repub/rep*				
openness	gov		dir	plut	auth/techno/strato	repub	anar	rep							
freespeech	speech		proced	decn	lao	hum	prot								
profanity	speech		proced	decn	lao	hum	prot								
etiquette	speech		proced	decn	lao	hum	prot								
literacy	speech		proced	decn	lao	hum	prot								
vulgarity	speech		proced	decn	lao	hum	prot								
banter	speech		proced	decn	lao	hum	prot								
rules	legal		nat	glob	open	pop	iso	asim/sov							
blocking	legal		proced	decn	lao	hum	prot								
permanent	legal		proced	decn	lao	hum	prot								
recidivism	legal		proced	decn	lao	hum	prot								
offender	legal		proced	decn	lao	hum	prot								
warning	legal		proced	decn	lao	hum	prot								
ambiguity	legal		proced	decn	lao	hum	prot								
friendship	for		pop	sov	asim	nat	open	iso	pop	glob					
uniformrules	for		asim	glob	pop	iso	sov	nat	open/pop						
wikihelp	for		asim	nat	glob	sov/iso	pop/open	nat	open						
instructions	for		nat	glob	open	pop	iso	asim/sov							
wikiunion	for		pop	iso	glob	nat*	nat	open	sov/asim						
